ilce;mahalle;nufus
Adalar;Burgazada Mahallesi;1620
Adalar;Heybeliada Mahallesi;4469
Adalar;Kınalıada Mahallesi;1987
Adalar;Maden Mahallesi;4914
Sarıyer;Maden Mahallesi;14116
Adalar;Nizam Mahallesi;3989
Arnavutköy;Adnan Menderes Mahallesi;4693
Arnavutköy;Anadolu Mahallesi;47828
Tuzla;Anadolu Mahallesi;834
Arnavutköy;Arnavutköy Merkez Mahallesi;23116
Arnavutköy;Atatürk Mahallesi;10566
Ataşehir;Atatürk Mahallesi;32915
Büyükçekmece;Atatürk Mahallesi;17102
Çatalca;Atatürk Mahallesi;1443
Esenyurt;Atatürk Mahallesi;15633
Küçükçekmece;Atatürk Mahallesi;41529
Sancaktepe;Atatürk Mahallesi;31969
Ümraniye;Atatürk Mahallesi;24016
Arnavutköy;Baklalı Mahallesi;866
Arnavutköy;Balaban Mahallesi;458
Arnavutköy;Boğazköy İstiklal Mahallesi;12829
Arnavutköy;Bolluca Mahallesi;8446
Arnavutköy;Boyalık Mahallesi;758
Arnavutköy;Çilingir Mahallesi;1200
Arnavutköy;Deliklikaya Mahallesi;8786
Arnavutköy;Dursunköy Mahallesi;433
Arnavutköy;Durusu Mahallesi;756
Arnavutköy;Fatih Mahallesi;3986
Bağcılar;Fatih Mahallesi;40177
Beykoz;Fatih Mahallesi;4251
Büyükçekmece;Fatih Mahallesi;18432
Çatalca;Fatih Mahallesi;1378
Esenler;Fatih Mahallesi;40838
Esenyurt;Fatih Mahallesi;27586
Küçükçekmece;Fatih Mahallesi;10921
Pendik;Fatih Mahallesi;21292
Sancaktepe;Fatih Mahallesi;38220
Silivri;Fatih Mahallesi;6783
Sultanbeyli;Fatih Mahallesi;20922
Tuzla;Fatih Mahallesi;1153
Arnavutköy;Hacımaşlı Mahallesi;671
Arnavutköy;Hadımköy Mahallesi;27328
Arnavutköy;Haraççı Mahallesi;11474
Arnavutköy;Hastane Mahallesi;10966
Arnavutköy;Hicret Mahallesi;4141
Arnavutköy;İmrahor Mahallesi;12088
Arnavutköy;İslambey Mahallesi;27179
Eyüpsultan;İslambey Mahallesi;16075
Arnavutköy;Karaburun Mahallesi;1903
Arnavutköy;Karlıbayır Mahallesi;11086
Arnavutköy;Mareşal Fevzi Çakmak Mahallesi;7116
Arnavutköy;Mavigöl Mahallesi;10249
Arnavutköy;Mehmet Akif Ersoy Mahallesi;7429
Esenyurt;Mehmet Akif Ersoy Mahallesi;26327
Kâğıthane;Mehmet Akif Ersoy Mahallesi;12173
Üsküdar;Mehmet Akif Ersoy Mahallesi;18615
Arnavutköy;Mustafa Kemal Paşa Mahallesi;17766
Arnavutköy;Nenehatun Mahallesi;11199
Arnavutköy;Ömerli Mahallesi;7471
Çekmeköy;Ömerli Mahallesi;5702
Arnavutköy;Sazlıbosna Mahallesi;1054
Arnavutköy;Taşoluk Mahallesi;10345
Arnavutköy;Tayakadın Mahallesi;3716
Arnavutköy;Terkos Mahallesi;926
Arnavutköy;Yassıören Mahallesi;675
Arnavutköy;Yavuz Selim Mahallesi;12961
Bağcılar;Yavuz Selim Mahallesi;27178
Beykoz;Yavuz Selim Mahallesi;5516
Esenler;Yavuz Selim Mahallesi;3471
Sultanbeyli;Yavuz Selim Mahallesi;20371
Arnavutköy;Yeniköy Mahallesi;1548
Sarıyer;Yeniköy Mahallesi;14718
Şile;Yeniköy Mahallesi;486
Arnavutköy;Yeşilbayır Mahallesi;611
Arnavutköy;Yunus Emre Mahallesi;20245
Esenyurt;Yunus Emre Mahallesi;22601
Sancaktepe;Yunus Emre Mahallesi;28750
Sultangazi;Yunus Emre Mahallesi;52061
Ataşehir;Aşıkveysel Mahallesi;12578
Ataşehir;Barbaros Mahallesi;30731
Bağcılar;Barbaros Mahallesi;20085
Üsküdar;Barbaros Mahallesi;16628
Ataşehir;Esatpaşa Mahallesi;32669
Ataşehir;Ferhatpaşa Mahallesi;20464
Çatalca;Ferhatpaşa Mahallesi;28400
Ataşehir;Fetih Mahallesi;11483
Ataşehir;İçerenköy Mahallesi;70199
Ataşehir;İnönü Mahallesi;31442
